Supercharger	Street Address	City	State	Zip	Country	Stalls	kW	GPS	Elev(m)	Status	Open Date	Links
Joplin - S Main St, MO	5002 S Main St	Joplin	MO	64804	USA	8	250	37.033192, -94.515724	296	OPEN	2021-05-02	gmap | forum | tesla
Florence, KY	4990 Houston Rd	Florence	KY	41042	USA	12	250	39.011489, -84.640279	1108	OPEN	2021-05-01	gmap | forum | tesla
Nashville - West Nashville, TN	6814 Charlotte Pike	Nashville	TN	37209-4206	USA	12	250	36.133938, -86.891832	150	OPEN	2021-04-30	gmap | forum
Towson, MD	1300 E Joppa Rd	Towson	MD	21284	USA	8	250	39.396234, -76.575626	147	OPEN	2021-04-23	gmap | forum | tesla
Williston, VT	129 Market St	Williston	VT	05495	USA	8	250	44.449659, -73.108963	121	OPEN	2021-04-23	gmap | forum | tesla
Madison, GA	2012 Eatonton Rd	Madison	GA	30650	USA	8	250	33.558083, -83.473861	202	OPEN	2021-04-23	gmap | forum | tesla
Waldorf, MD	11505 Berry Rd	Waldorf	MD	20603	USA	8	250	38.630127, -76.919032	67	OPEN	2021-04-20	gmap | forum | tesla
Columbus, GA	1591 Bradley Park Dr	Columbus	GA	31904	USA	12	250	32.533485, -84.971362	129	OPEN	2021-04-20	gmap | forum | tesla
Sand City, CA	2040 California Ave	Sand City	CA	93955	USA	12	250	36.621976, -121.844208	16	OPEN	2021-04-17	gmap | forum | tesla
Irvine - Culver Drive, CA	14346 Culver Dr	Irvine	CA	92604	USA	16	250	33.706784, -117.785164	29	OPEN	2021-04-17	gmap | forum | tesla
Colfax, NC	3202 Sandy Ridge Rd	Colfax	NC	27235	USA	8	250	36.095012, -79.994674	292	OPEN	2021-04-08	gmap | forum | tesla
Grapevine, TX	1001 Northwest Highway	Grapevine	TX	76051	USA	12	250	32.941808, -97.067096	187	OPEN	2021-04-07	gmap | forum | tesla
